                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.44808,                0.30603,                0.85336,                0.90341,                0.84127,                0.84773,                0.45708,                 1.7768,                0.81053,                 1.8528,               0.006007,               0.006007,               0.006007
                    123,                0.46558,                0.33346,                0.86287,                0.83121,                 0.8254,                0.84117,                0.45478,                 1.8074,                0.83403,                 1.8725,               0.005974,               0.005974,               0.005974
                    124,                0.45926,                0.31208,                0.85208,                0.85388,                0.79365,                0.85234,                0.45539,                  1.755,                0.78619,                 1.8417,               0.005941,               0.005941,               0.005941
                    125,                 0.4722,                0.32661,                0.86497,                0.87491,                0.77715,                0.84345,                0.44496,                 1.7287,                0.79128,                 1.8261,               0.005908,               0.005908,               0.005908
                    126,                0.44892,                0.30959,                0.86511,                0.87359,                0.79365,                0.85427,                0.44771,                 1.7482,                0.81473,                 1.7982,               0.005875,               0.005875,               0.005875
                    127,                0.45726,                0.31245,                0.86541,                0.92022,                0.74603,                0.82365,                  0.458,                 1.7583,                0.75466,                 1.8479,               0.005842,               0.005842,               0.005842
                    128,                0.45817,                0.30957,                0.85641,                0.86436,                0.80919,                0.80942,                0.45381,                 1.7054,                0.84092,                 1.8072,               0.005809,               0.005809,               0.005809
                    129,                0.43138,                0.29751,                0.85388,                0.86316,                 0.7619,                0.80195,                0.46817,                 1.7256,                0.90116,                 1.8067,               0.005776,               0.005776,               0.005776
                    130,                0.44797,                0.30408,                0.86695,                0.87284,                0.79365,                0.83347,                0.46316,                 1.6881,                0.86036,                  1.743,               0.005743,               0.005743,               0.005743
                    131,                0.43902,                0.30644,                0.85361,                 0.8194,                 0.7619,                0.83456,                 0.4752,                 1.6881,                0.72654,                 1.8184,                0.00571,                0.00571,                0.00571
                    132,                0.43692,                0.29961,                 0.8538,                0.80058,                 0.7619,                0.79338,                0.46991,                 1.7047,                0.84032,                 1.7943,               0.005677,               0.005677,               0.005677
                    133,                0.43187,                 0.3068,                 0.8492,                0.81219,                0.69841,                0.75433,                 0.4673,                 1.6729,                 0.8849,                 1.7068,               0.005644,               0.005644,               0.005644
                    134,                0.43726,                0.30772,                0.85752,                0.84162,                0.75915,                0.78721,                0.44038,                 1.6798,                0.81098,                 1.7593,               0.005611,               0.005611,               0.005611
                    135,                 0.4603,                0.30312,                0.86044,                0.89522,                 0.7619,                0.83195,                0.47645,                 1.6604,                0.80577,                 1.7416,               0.005578,               0.005578,               0.005578
                    136,                0.44957,                  0.306,                0.85255,                0.88716,                0.77778,                0.80985,                0.46126,                 1.7032,                0.82289,                 1.8161,               0.005545,               0.005545,               0.005545
